coments,label
¿Cuándo repararán la fuga de agua en mi calle?,pregunta
¿Por qué no llega agua a mi edificio en los últimos días?,pregunta
¿Cómo reporto un problema con el medidor de agua?,pregunta
¿Hay algún horario fijo para el suministro de agua en mi zona?,pregunta
¿Qué hacer si el agua sale turbia?,pregunta
El agua en mi zona llega con poca presión la mayor parte del día.,criterio_general
Las fugas en las calles son un desperdicio que nadie repara.,criterio_general
El servicio de pipas debería ser más regular en verano.,criterio_general
"La calidad del agua ha mejorado, pero sigue siendo irregular.",criterio_general
Los reportes de averías se ignoran durante semanas.,criterio_general
"Denuncio que la fuga en calle G y 25 lleva 2 meses sin reparar, desperdiciando miles de litros.",denuncia
Reporto que empleados de Acueducto solicitan 'regalos' para priorizar reparaciones.,denuncia
Exijo acción ante la contaminación del agua en Arroyo Naranjo que ha causado enfermedades.,denuncia
Denuncio instalación irregular de tuberías que dejó sin suministro a 20 viviendas en Sancti Spíritus.,denuncia
Reporto que el camión cisterna solo llega a zonas donde residentes pagan 'propinas'.,denuncia
Estoy harto de que el agua solo llegue dos veces por semana y con poca presión,queja
Es indignante que no reparen las fugas que llevan meses desperdiciando agua,queja
Me tienen cansado con el agua turbia que llega a mi edificio,queja
Es inaceptable que en pleno siglo XXI tengamos que depender de pipas,queja
"Estoy frustrado porque cada vez que reporto un problema, tardan meses en responder",queja
Sugiero implementar un sistema de cisternas comunitarias en zonas con problemas crónicos de suministro,sugerencia
Sería bueno crear talleres para enseñar a reparar fugas básicas en los hogares y reducir el desperdicio,sugerencia
Propongo instalar tanques de almacenamiento en los edificios altos para mejorar la presión del agua,sugerencia
Recomiendo un programa de reforestación en cuencas hidrográficas para mejorar el suministro a largo plazo,sugerencia
Sugiero crear una línea telefónica directa para reportar fugas en la vía pública con respuesta garantizada en 48h,sugerencia
¿Cuándo repararán la fuga en calle 13 entre 4 y 6 en Vedado,pregunta
A quién debo llamar si el agua llega con olor a cloro muy fuerte,pregunta
Es normal que el medidor gire aunque todas las llaves estén cerradas,pregunta
¿Hay algún horario establecido para el paso de pipas en Cerro,pregunta
Qué debo hacer si mi factura viene con consumo excesivo pero no tengo fugas,pregunta
¿Por qué el agua sale marrón los primeros minutos cada mañana,pregunta
Existe algún subsidio para reparar tuberías internas en viviendas de bajos ingresos,pregunta
¿Dónde reporto vecinos que desperdician agua lavando autos y aceras,pregunta
Las cisternas comunitarias requieren algún permiso especial para instalarse,pregunta
¿Qué pruebas de calidad del agua realizan regularmente en mi municipio,pregunta
Las fugas en tuberías principales son un desperdicio intolerable,criterio_general
El servicio de pipas funciona mejor en zonas turísticas,criterio_general
La calidad del agua ha mejorado pero sigue siendo irregular,criterio_general
