comment,label
El agua en mi zona llega con poca presión la mayor parte del día.,criterio_general
Las fugas en las calles son un desperdicio que nadie repara.,criterio_general
El servicio de pipas debería ser más regular en verano.,criterio_general
"La calidad del agua ha mejorado, pero sigue siendo irregular.",criterio_general
Los reportes de averías se ignoran durante semanas.,criterio_general
"Denuncio que la fuga en calle G y 25 lleva 2 meses sin reparar, desperdiciando miles de litros.",denuncia
Reporto que empleados de Acueducto solicitan 'regalos' para priorizar reparaciones.,denuncia
Exijo acción ante la contaminación del agua en Arroyo Naranjo que ha causado enfermedades.,denuncia
Denuncio instalación irregular de tuberías que dejó sin suministro a 20 viviendas en Sancti Spíritus.,denuncia
Reporto que el camión cisterna solo llega a zonas donde residentes pagan 'propinas'.,denuncia
Estoy harto de que el agua solo llegue dos veces por semana y con poca presión,queja
Es indignante que no reparen las fugas que llevan meses desperdiciando agua,queja
Me tienen cansado con el agua turbia que llega a mi edificio,queja
Es inaceptable que en pleno siglo XXI tengamos que depender de pipas,queja
"Estoy frustrado porque cada vez que reporto un problema, tardan meses en responder",queja
Sugiero implementar un sistema de cisternas comunitarias en zonas con problemas crónicos de suministro,sugerencia
Sería bueno crear talleres para enseñar a reparar fugas básicas en los hogares y reducir el desperdicio,sugerencia
Propongo instalar tanques de almacenamiento en los edificios altos para mejorar la presión del agua,sugerencia
Recomiendo un programa de reforestación en cuencas hidrográficas para mejorar el suministro a largo plazo,sugerencia
Sugiero crear una línea telefónica directa para reportar fugas en la vía pública con respuesta garantizada en 48h,sugerencia
