comment,label
¿Cuándo repararán la fuga en calle 13 entre 4 y 6 en Vedado,pregunta
A quién debo llamar si el agua llega con olor a cloro muy fuerte,pregunta
Es normal que el medidor gire aunque todas las llaves estén cerradas,pregunta
¿Hay algún horario establecido para el paso de pipas en Cerro,pregunta
Qué debo hacer si mi factura viene con consumo excesivo pero no tengo fugas,pregunta
¿Por qué el agua sale marrón los primeros minutos cada mañana,pregunta
Existe algún subsidio para reparar tuberías internas en viviendas de bajos ingresos,pregunta
¿Dónde reporto vecinos que desperdician agua lavando autos y aceras,pregunta
Las cisternas comunitarias requieren algún permiso especial para instalarse,pregunta
¿Qué pruebas de calidad del agua realizan regularmente en mi municipio,pregunta
Las fugas en tuberías principales son un desperdicio intolerable,criterio_general
El servicio de pipas funciona mejor en zonas turísticas,criterio_general
La calidad del agua ha mejorado pero sigue siendo irregular,criterio_general
Los cortes de agua en verano afectan especialmente a ancianos,criterio_general
La instalación de tanques elevados fue una solución inteligente,criterio_general
Las facturas de agua no reflejan los días sin suministro,criterio_general
Los trabajadores de acueducto merecen mejor equipamiento,criterio_general
La contaminación de pozos artesianos es un problema creciente,criterio_general
Las comunidades deberían organizarse para limpiar cisternas,criterio_general
El agua potable es un derecho que no llega a todos por igual,criterio_general
"Denuncio fuga masiva en acueducto de Matanzas que lleva 2 meses sin reparar, desperdiciando millones de litros",denuncia
Reporto que camiones cisterna de La Habana cobran 500 CUP por servicio que debería ser gratuito,denuncia
Exijo investigación sobre tuberías de PVC de baja calidad instaladas en reparto Eléctrico que se rompen semanalmente,denuncia
Denuncio que empleados de Acueducto piden 'colaboraciones' para reparar bombas en Güines,denuncia
Reporto contaminación por aguas albañales en pozo de Bejucal que abastece a 300 familias,denuncia
Denuncio venta ilegal de agua potable de pipas estatales a negocios privados,denuncia
Exijo acción contra vertedero en Arroyo Naranjo que contamina fuentes subterráneas,denuncia
Denuncio que medidores en Alamar registran el doble del consumo real y la empresa no responde,denuncia
Reporto desvío de químicos para potabilización hacia piscinas de hoteles en Varadero,denuncia
Denuncio que en Cienfuegos priorizan suministro a zonas turísticas dejando sin agua a hospitales,denuncia
¿Por qué hay tantas fugas en mi calle y nadie las repara?,queja
Reclamo que cortan el agua sin avisar y pasamos días sin servicio.,queja
¿Cuándo van a solucionar la baja presión? El agua no llega al 3er piso.,queja
Queja porque el agua sale turbia y no es apta para consumo.,queja
¿Por qué no hay mantenimiento preventivo? Siempre es reactivo cuando ya hay un problema grave.,queja
¿Por qué el agua huele a azufre en toda la zona de El Cerro?,queja
Reclamo que las pipas no pasan por barrios periféricos durante sequías,queja
Denuncio robo de tuberías de cobre en Arroyo Naranjo que deja sin agua a 300 familias,queja
¿Cuándo sustituirán las tuberías coloniales de Centro Habana?,queja
Queja porque cobran multas por fugas que son responsabilidad de Acueducto,queja
Propongo instalar medidores digitales para detectar fugas ocultas,sugerencia
Sugiero crear brigadas juveniles para mantenimiento de acueductos,sugerencia
¿Podrían implementar sistemas de riego por goteo en zonas agrícolas?,sugerencia
Recomiendo plantas desalinizadoras en zonas costeras con sequía,sugerencia
Sería útil educar en escuelas sobre conservación de agua con talleres prácticos,sugerencia
Propongo reutilizar aguas residuales tratadas para limpieza urbana,sugerencia
Sugiero modernizar la red hidráulica de Centro Habana con ayuda internacional,sugerencia
¿Podrían crear un sistema de reporte de fugas vía WhatsApp?,sugerencia
Recomiendo llaves de paso comunitarias para controlar pérdidas,sugerencia
Sería bueno captar agua de lluvia en instituciones estatales,sugerencia
