comment,label
Los medicamentos están caducados y nadie responde por intoxicaciones , queja
Las facturas llegan con cobros fantasmas que nunca existieron , queja
El servicio técnico no aparece ni aunque pagues bajo la mesa , queja
Las promociones son engañosas para sacarte hasta el último peso , queja
Las máquinas de pago siempre fallan cuando necesitas cambio , queja
Los productos de primera necesidad desaparecen como por arte de magia , queja
Las colas son eternas y al final te dicen no hay nada , queja
El agua potable sale marrón y con olor a cloaca , queja
Las reparaciones duran menos que un helado bajo el sol , queja
Los funcionarios te tratan como basura por hacer preguntas , queja
Las calles están llenas de hoyos que ni con lupa ven , queja
El transporte público es un infierno con ruedas y sin aire , queja
Los precios suben más rápido que un cohete pero los salarios no , queja
Las escuelas parecen cárceles sin recursos ni profesores competentes , queja
Los trámites legales son laberintos diseñados para frustrarte , queja
La comida en los mercados está llena de moscas y suciedad , queja
Los proyectos sociales son puro humo para robar presupuesto , queja
Las mentiras oficiales son más grandes que el Malecón , queja
Los equipos médicos están obsoletos y matan más que curan , queja
La corrupción es tan común como respirar en este país , queja
Los cortes de luz te dejan cocinando a oscuras como en la prehistoria , queja
Los salarios no alcanzan ni para comprar un pollo enano , queja
Las promesas de mejora son cuentos para dormir a los tontos , queja
Los inspectores solo sirven para extorsionar a los pequeños negocios , queja
La burocracia te hace perder años de vida en trámites inútiles , queja
Los productos de la canasta básica son de ínfima calidad , queja
Las licencias para emprender son imposibles de obtener sin sobornos , queja
La atención al cliente es un mito inventado por el gobierno , queja
Los parques públicos están llenos de basura y abandono , queja
La gasolina se evapora antes de llegar a los surtidores , queja
Los hospitales huelen a muerte y desinfección caducada , queja
Las calles sin alumbrado son trampas para asaltantes nocturnos , queja
Los precios en MLC son una burla al salario promedio , queja
Los servicios básicos son privilegios reservados para turistas , queja
Las mentiras en TV son más creativas que las telenovelas , queja
Los documentos importantes siempre se pierden en las oficinas , queja
La falta de mantenimiento convierte todo en ruinas en meses , queja
Los medicamentos esenciales solo existen en el mercado negro , queja
La educación pública es adoctrinamiento disfrazado de enseñanza , queja
Los impuestos absurdos ahogan hasta el más pequeño negocio , queja
Las estafas telefónicas son el pan de cada día y nadie actúa , queja
La comida en hospitales parece diseñada para enfermar más , queja
Los permisos de viaje son una tortura psicológica sin fin , queja
Las viviendas subsidiadas son jaulas de cemento sin ventilación , queja
Los funcionarios roban descaradamente y nadie los sanciona , queja
El transporte de carga es tan lento que los productos se pudren , queja
Las aplicaciones del gobierno son virus que espían tu móvil , queja
Los cortes de agua te obligan a bañarte con un vaso , queja
Los proyectos de infraestructura son elefantes blancos inútiles , queja
La falta de insumos paraliza hasta los servicios más básicos , queja
Los salarios atrasados son la norma en empresas estatales , queja
La censura en internet es más eficiente que el servicio técnico , queja
Las multas inventadas son impuestos disfrazados de legalidad , queja
Los eventos culturales son propaganda barata sin valor artístico , queja
La basura se acumula hasta en zonas turísticas limpias , queja
Los préstamos bancarios son trampas de deuda imposibles de pagar , queja
Las reparaciones de emergencia tardan meses en concretarse , queja
Los fraudes en tiendas estatales son el deporte nacional , queja
La falta de transparencia convierte cada gasto en sospecha , queja
Los materiales de construcción son de calidad tercermundista , queja
Los trámites digitales son pesadillas con errores constantes , queja
La leche subsidiada es agua blanca sin nutrientes , queja
Los servicios funerarios cobran hasta por llorar al difunto , queja
Las políticas económicas son experimentos fallidos con el pueblo , queja
