comment,label
Los cortes de luz afectan demasiado a los pequeños negocios.,criterio_general
La factura eléctrica debería explicar mejor los cálculos.,criterio_general
En mi barrio ya estamos acostumbrados a los apagones diarios.,criterio_general
Las reparaciones de postes tardan semanas en completarse.,criterio_general
El horario de cortes programados no siempre se cumple.,criterio_general
Denuncio que el poste de luz en calle 23 y M está a punto de caerse y nadie lo repara.,denuncia
Reporto fraude en mi factura eléctrica: cobran el doble de mi consumo real.,denuncia
"Denuncio que los apagones en mi zona superan las 12 horas diarias, violando lo establecido.",denuncia
Exijo investigación por el robo de cables eléctricos en Centro Habana que dejó sin luz a 3 edificios.,denuncia
Denuncio que el personal de UNESA solicitó soborno para reparar mi medidor dañado.,denuncia
"Estamos hartos de los apagones de 8 horas diarias en pleno verano, es insoportable",queja
"La factura de la luz no coincide con nuestro consumo real, siempre viene inflada",queja
Llevo 3 semanas reportando un cable pelado en mi calle y nadie viene a repararlo,queja
Es indignante que haya zonas con estabilidad eléctrica mientras otras sufren cortes constantes,queja
Los generadores de los hospitales siempre están rotos cuando más se necesitan,queja
Propongo crear un sistema de alertas SMS para informar sobre los cortes programados de electricidad,sugerencia
Sería bueno implementar talleres comunitarios sobre cómo ahorrar energía para reducir los apagones,sugerencia
Sugiero priorizar la instalación de paneles solares en hospitales y centros vitales para emergencias,sugerencia
Recomiendo modernizar los medidores eléctricos para que muestren el consumo en tiempo real,sugerencia
Propongo crear brigadas de respuesta rápida para atender averías críticas en menos de 24 horas,sugerencia
