comment,label
¿Cuándo terminarán las reparaciones en el transformador de 10 y 42,pregunta
Cómo reporto un cable de alta tensión pelado en mi azotea,pregunta
El medidor digital nuevo viene con instrucciones en español,pregunta
¿Siguen dando bonificaciones por ahorro energético este trimestre,pregunta
Qué documentos necesito para solicitar el cambio de tarifa residencial a comercial,pregunta
¿Es obligatorio el uso de reguladores de voltaje para equipos médicos,pregunta
Hay algún teléfono directo para emergencias eléctricas en Marianao,pregunta
¿Por qué mi factura muestra consumo en horas de apagón,pregunta
Las lámparas LED que distribuyeron tienen garantía,pregunta
¿Dónde reciben las quejas por cortes no programados en Arroyo Naranjo,pregunta
Los apagones frecuentes están dañando los electrodomésticos de muchas familias,criterio_general
La instalación de paneles solares en zonas rurales fue un acierto,criterio_general
Las facturas eléctricas deberían mostrar un desglose más detallado,criterio_general
El mantenimiento preventivo de redes eléctricas evitaría muchos problemas,criterio_general
Es admirable cómo los técnicos trabajan en condiciones tan difíciles,criterio_general
La población necesita más educación sobre ahorro energético,criterio_general
Los generadores en hospitales deberían tener combustible garantizado,criterio_general
La sustitución de bombillas incandescentes por LED fue positiva,criterio_general
Los cortes programados deberían anunciarse con mayor anticipación,criterio_general
La corrosión en postes eléctricos es un problema de seguridad pública,criterio_general
"Denuncio robo sistemático de cables de cobre en el reparto La Corbata, dejando a 200 familias sin luz por 5 días",denuncia
Reporto fraude en facturación: cobran 'consumo estimado' a 50 viviendas en Arroyo Naranjo durante apagones de 12 horas,denuncia
Exijo investigación por venta ilegal de transformadores nuevos en el mercado negro por empleados de UNESA,denuncia
Denuncio que técnicos de la oficina de 10 y 41 solicitan 'regalos' para priorizar reparaciones urgentes,denuncia
Reporto instalación defectuosa de medidores digitales en Centro Habana que inflan consumos en un 30%,denuncia
Denuncio acaparamiento de generadores eléctricos por directivos de empresas estatales para uso personal,denuncia
Exijo acción contra el taller clandestino en San Agustín que altera medidores eléctricos por 1000 CUP,denuncia
Denuncio desvío de paneles solares destinados a consultorios médicos hacia residencias particulares en Tarará,denuncia
"Reporto negligencia en la poda de árboles cerca de cables de alta tensión en Boyeros, causando incendios",denuncia
Denuncio cobro ilegal por 'derecho de conexión' en zonas rurales de Mayabeque donde el servicio es gratuito,denuncia
¿Por qué hay apagones de 8 horas sin previo aviso? Necesitamos un horario real.,queja
Reclamo que mi zona tiene cortes diarios y nadie da explicaciones.,queja
"La factura llegó el doble de lo normal, ¿cómo es posible si usé menos energía?",queja
¿Por qué no arreglan los postes de luz caídos? Llevan meses así y es un peligro.,queja
"Queja por la mala atención al cliente, nunca resuelven las quejas por teléfono.",queja
Denuncio que los transformadores son de 1950 y por eso se queman constantemente,queja
¿Por qué en Varadero no hay apagones pero en el interior sí?,queja
Reclamo que mi medidor marca consumo fantasma desde hace 3 meses,queja
¿Cuándo instalarán paneles solares en zonas rurales? Llevamos décadas esperando,queja
Queja por la corrosión en los cables de alta tensión - es un peligro público,queja
Propongo instalar paneles solares en techos de fábricas estatales,sugerencia
Sugiero crear un sistema de alertas SMS antes de apagones programados,sugerencia
¿Podrían priorizar hospitales y centros de salud en los planes de electricidad?,sugerencia
Recomiendo sustituir transformadores obsoletos por modelos chinos más eficientes,sugerencia
Sería útil tener talleres locales para reparar electrodomésticos dañados por voltajes,sugerencia
Propongo incentivos fiscales para quienes instalen energías renovables en casa,sugerencia
Sugiero mapear digitalmente todas las averías para priorizar reparaciones,sugerencia
¿Podrían crear cooperativas especializadas en mantenimiento eléctrico?,sugerencia
Recomiendo usar drones para inspeccionar líneas de alta tensión,sugerencia
Sería bueno educar en escuelas sobre ahorro energético con prácticas reales,sugerencia
