comment,label
Las tiendas en MLC tienen precios más altos que el mercado informal.,criterio_general
La variedad de productos en las TRD ha mejorado este año.,criterio_general
Es injusto que algunos productos solo se vendan en MLC.,criterio_general
Las colas en tiendas Caribe son eternas por falta de organización.,criterio_general
Los empleados de las tiendas en MLC deberían ser más amables.,criterio_general
Reporto venta ilegal de productos de las tiendas MLC a revendedores por empleados corruptos.,denuncia
Denuncio que en la TRD de Miramar venden productos vencidos en lotes de leche en polvo.,denuncia
Exijo acción ante el acoso a clientes por parte de seguridad en tiendas Caribe.,denuncia
Denuncio desvío de productos básicos a mercados negros por trabajadores de tiendas estatales.,denuncia
Reporto que en la tienda de MLC de 10 y 23 exigen compras mínimas no establecidas.,denuncia
Estoy harto de hacer colas de horas para que cuando llegue mi turno ya no quede nada,queja
Los precios en las tiendas MLC son excesivos comparados con la calidad de los productos,queja
Es indignante que siempre atiendan primero a los conocidos en las tiendas estatales,queja
Me tienen cansado con los productos vencidos que venden en las TRD,queja
Es frustrante que los artículos de primera necesidad siempre estén agotados,queja
Sugiero implementar venta online en tiendas MLC con entrega a domicilio para evitar aglomeraciones,sugerencia
Sería bueno crear un sistema de reserva de productos básicos por teléfono para personas mayores,sugerencia
Propongo establecer horarios exclusivos para embarazadas y discapacitados en las TRD,sugerencia
Recomiendo mejorar el control de calidad en los productos alimenticios que se venden en las tiendas,sugerencia
Sugiero implementar cajas rápidas para compras menores a 5 productos y agilizar las colas,sugerencia
