comment,label
¿Van a recibir harina de trigo en la tienda de MLC de Miramar esta semana,pregunta
A qué hora forman la cola para la venta de pollo en la TRD de Centro Habana,pregunta
Es cierto que necesitas carnet de abastecimiento para comprar detergente ahora,pregunta
¿Aceptan tarjetas de crédito extranjeras en las tiendas Caribe,pregunta
Tienen planificado abrir más tiendas que vendan en CUP y MLC simultáneamente,pregunta
¿Por qué nunca hay huevos cuando llego al final de la cola,pregunta
Los precios de los electrodomésticos incluyen instalación,pregunta
¿Dónde puedo reclamar por un paquete de leche en polvo vencido que compré ayer,pregunta
Existe algún sistema de reserva para productos de primera necesidad para adultos mayores,pregunta
¿Qué documentos necesito para comprar en MLC siendo extranjero residente,pregunta
Las tiendas en MLC tienen mejores productos pero precios elevados,criterio_general
La organización en las colas de las TRD podría ser mucho mejor,criterio_general
Es injusto que productos básicos solo estén disponibles en MLC,criterio_general
La variedad en tiendas Caribe ha mejorado notablemente,criterio_general
Los empleados de tiendas estatales deberían recibir mejor capacitación,criterio_general
La venta de productos vencidos en tiendas TRD es inaceptable,criterio_general
El sistema de venta por números agiliza pero genera desorden,criterio_general
Las tiendas agropecuarias tienen mejor surtido que las urbanas,criterio_general
La falta de sombra en colas exteriores es un problema de salud,criterio_general
Los precios en tiendas minoristas no coinciden con los salarios,criterio_general
Denuncio venta de leche en polvo vencida en TRD de 70 y 3ra con etiquetas adulteradas,denuncia
Reporto red de corrupción en tienda MLC de Miramar: empleados reservan productos para revendedores,denuncia
Exijo investigación sobre desvío de 500 latas de aceite destinadas a tiendas CUP hacia mercado negro,denuncia
Denuncio que en Caribe de Obispo cobran precios superiores a los exhibidos en estantes,denuncia
Reporto venta ilegal de medicamentos bajo mesa en bodega de San Miguel del Padrón,denuncia
Denuncio acaparamiento de pollo por administradores de Tiendas Universo para venta a restaurantes privados,denuncia
Exijo acción contra pesaje adulterado en placita de 19 y B: 900 gramos registrados como 1kg,denuncia
Denuncio robo sistemático de productos importados en almacén principal de CIMEX,denuncia
Reporto que empleados de Panamericana exigen compras mínimas no reglamentadas para atender,denuncia
Denuncio venta de ropa donada como nueva en tienda de La Rampa,denuncia
¿Por qué los productos básicos siempre están agotados?,queja
Reclamo que los precios suben pero la calidad sigue siendo mala.,queja
¿Cuándo van a tener stock estable de alimentos? Es frustrante hacer cola para nada.,queja
Queja porque venden productos vencidos y no aceptan devoluciones.,queja
¿Por qué en las tiendas en MLC hay más variedad que en las de pesos cubanos?,queja
¿Por qué el pan de la panadería estatal viene crudo constantemente?,queja
Reclamo que en las shoppings venden productos con precios en USD pero cobran en EUR,queja
Denuncio que los trabajadores de TRD esconden productos para venderlos después,queja
¿Cuándo dejarán de vender leche en polvo con gorgojos?,queja
Queja formal: en las tiendas MLC no aceptan tarjetas de bancos cubanos,queja
Propongo crear mercados mayoristas para trabajadores por cuenta propia,sugerencia
Sugiero implementar venta online de productos básicos con entrega a domicilio,sugerencia
¿Podrían abrir tiendas MLC con secciones exclusivas para productos nacionales?,sugerencia
Recomiendo sistemas de reserva de productos agotados vía SMS,sugerencia
Sería útil tener códigos QR en productos para verr origen y fecha de caducidad,sugerencia
Propongo incentivar la producción local de alimentos con menos importaciones,sugerencia
Sugiero crear app para comparar precios entre tiendas estatales y privadas,sugerencia
¿Podrían habilitar pagos con tarjeta magnética en todas las TRD?,sugerencia
Recomiendo mejorar el embalaje de productos lácteos y cárnicos,sugerencia
Sería bueno tener horarios especiales para adultos mayores en supermercados,sugerencia
