comment,label
La recogida de basura es irregular en los municipios periféricos.,criterio_general
El gas licuado es difícil de conseguir fuera de La Habana.,criterio_general
Las bodegas no cubren la demanda básica de alimentos.,criterio_general
Los delegados deberían escuchar más a la comunidad.,criterio_general
Tramitar un carné de identidad nuevo toma demasiado tiempo.,criterio_general
Denuncio acaparamiento de gas licuado por trabajadores estatales para revender en el mercado negro.,denuncia
Reporto colusión entre inspectores y dueños de bodegas para desviar productos regulados.,denuncia
Exijo investigación por la venta ilegal de carnés de identidad en oficinas del MININT.,denuncia
Denuncio que delegados priorizan reparaciones de calles en zonas donde residen familiares.,denuncia
Reporto malversación de fondos para recogida de basura en Artemisa: pagaron servicios nunca realizados.,denuncia
Estoy harto de la basura acumulada en las calles por falta de recogida,queja
Es indignante que el gas licuado sea tan difícil de conseguir,queja
Me tienen cansado con los constantes aumentos de precios en los mercados,queja
Es inaceptable la burocracia para trámites simples como el carné de identidad,queja
Estoy frustrado porque los delegados no resuelven los problemas de la comunidad,queja
Propongo implementar puntos de reciclaje en cada cuadra con incentivos por materiales entregados,sugerencia
"Sería útil crear una app para reportar problemas comunitarios (basura, fugas) con seguimiento público",sugerencia
Sugiero horarios diferenciados para compra de gas licuado según terminación de cédula de identidad,sugerencia
Recomiendo crear mercados agrícolas móviles que visiten barrios sin acceso a placitas,sugerencia
Propongo un programa de mantenimiento preventivo de alcantarillados antes de la temporada de lluvias,sugerencia
