comment,label
"¿Dónde puedo comprar arroz en moneda nacional (CUP) en Centro Habana?",pregunta
"¿La bodega de mi barrio está obligada a vender según la libreta de abastecimiento?",pregunta
"¿Cómo denunciar un establecimiento que vende productos con precios inflados?",pregunta
"¿Qué días llega la leche en polvo a la tienda de Marianao?",pregunta
"¿Dónde reclamo si la carne distribuida por la libreta estaba en mal estado?",pregunta
"Las ferias agropecuarias en Plaza Vieja son una buena opción para comprar viandas frescas.",elogio
"La libreta de abastecimiento garantiza lo mínimo, pero no alcanza para una familia.",neutral
"Los mercados de artesanías como San José en La Habana apoyan a emprendedores locales.",elogio
"Las tiendas de CUP tienen precios bajos, pero casi siempre están vacías.",neutral
"Las cooperativas agrícolas han mejorado la oferta de vegetales en ciudades.",elogio
"El hotel Meliá Cohiba cobra 150 MLC por una noche, pero el agua caliente no funciona.",crítica
"El tour a Viñales no incluyó la cueva del Indio como prometieron. Estafa.",crítica
"El restaurante La Bodeguita del Medio sirvió mojito aguado a 5 MLC. ¿Esto es tradición?",crítica
"El guía turístico de Trinidad nos abandonó a mitad del recorrido. ¿Dónde reclamo?",crítica
"El auto clásico de alquiler se descompuso en pleno Malecón. ¿Y mi tour?",crítica
"El pollo de la libreta viene podrido. ¿Es esto comida o veneno?",crítica
"La tienda en MLC de Miramar vende arroz con gorgojos. ¿Nadie controla la calidad?",crítica
"Llevo tres semanas sin recibir la cuota de café de la libreta. ¿Dónde está?",crítica
"El aceite subsidiado huele a rancio. ¿Es seguro para consumo?",crítica
"La panadería estatal de Centro Habana vende pan con piedras. ¿Quieren rompernos los dientes?",crítica
"La leche en polvo para niños llegó caducada. ¿Qué clase de negligencia es esta?",crítica
"El mercado agropecuario de 10 de Octubre manipula pesas para estafar.",crítica
"La tienda ‘El Trigal’ en Santiago no acepta CUP. ¿Es legal?",crítica
"El arroz de la libreta tiene más piedras que granos. ¿Dónde está el control?",crítica
"La carne en conserva es pura grasa. ¿Esto cuenta como proteína?",crítica
"¿Las tiendas de CUP venden baterías para cocinas eléctricas?",pregunta
"¿Cómo solicitar una licencia para vender productos agrícolas de forma particular?",pregunta
"¿Qué hacer si la tienda MLC no acepta tarjetas de débito extranjeras?",pregunta
"¿Hay venta de semillas para huertos caseros en cooperativas agrícolas?",pregunta
"¿Dónde reclamo si la leche en polvo distribuida estaba caducada?",pregunta
"Las tiendas de electrodomésticos en MLC ofrecen garantía.",neutral
"¿Cómo acceder a la venta de materiales escolares subsidiados?",pregunta
"¿Existen puntos de venta de gasolina para motos en moneda nacional?",pregunta
"Las ferias agropecuarias en Plaza Vieja son una buena opción para comprar viandas frescas.",elogio
"La venta de productos de limpieza en moneda nacional ayuda a familias vulnerables.",elogio
"Las cooperativas agrícolas han mejorado la oferta de vegetales en ciudades.",elogio
"El programa de venta de materiales de construcción subsidiados ayuda a reparar viviendas.",elogio
"La libreta incluye jabón y pasta dental, pero en cantidades insuficientes.",neutral
"Los mercados informales llenan vacíos, pero sus precios son abusivos.",neutral
"Las tiendas de ropa en CUP tienen diseños anticuados, pero son accesibles.",neutral
"El hotel Iberostar en Varadero tiene cucarachas en las habitaciones. ¿Lujo?",crítica
"El paquete ‘todo incluido’ no incluyó ni el agua mineral. Publicidad falsa.",crítica
"El museo de la Revolución cobra 10 MLC a cubanos. ¿La historia es solo para turistas?",crítica
"El taxi turístico nos cobró 50 MLC por 5 km. ¿Tarifas o robo?",crítica
"¿Los ciudadanos cubanos pueden hospedarse en hoteles de cadena internacional?",pregunta
"¿Cómo reservar una casa particular en Trinidad con anticipación?",pregunta
"¿Hay transporte público desde Varadero hasta Matanzas?",pregunta
"¿Qué incluye el paquete 'Cuba Natural' de la agencia Cubanacán?",pregunta
"¿Dónde reportar un guía turístico no autorizado que ofrece servicios?",pregunta
"¿Cómo alquilar una bicicleta eléctrica en La Habana?",pregunta
"La bodega de mi barrio vende productos de la libreta en el mercado negro.",crítica
"El detergente subsidiado no quita ni el polvo. ¿Es agua con colorante?",crítica
"El pollo congelado en MLC estaba verde. ¿Quieren envenenarnos?",crítica
"La tienda CIMEX en MLC no da facturas. ¿Cómo reclamo productos defectuosos?",crítica
"La harina de trigo desapareció de las tiendas. ¿Ahora cómo hacemos pan?",crítica
"El café de la libreta es puro palo y tierra. ¿Esto es café?",crítica
"La tienda de Marianao vende jabón que no hace espuma. ¿Es un chiste?",crítica
"El aceite de girasol se vende solo en MLC a precios de oro. ¿Y los que no tenemos divisas?",crítica
"La carne de res en la libreta es hueso con pellejo. ¿Dónde está la carne?",crítica
"El mercado de Guanabacoa subió los precios un 300% en un día. ¿Nadie los regula?",crítica
"¿Las tiendas en MLC (Moneda Libremente Convertible) aceptan euros?",pregunta
"¿Cómo solicitar una libreta de abastecimiento para un recién nacido?",pregunta
"¿Hay venta de harina de trigo en la tienda 'El Trigal' de Santiago?",pregunta
"¿Qué hacer si el pan asignado por la libreta no se entrega por semanas?",pregunta
"¿Los productos de la canasta básica incluyen jabón de lavar este mes?",pregunta
"¿Dónde reportar un mercado agropecuario que vende viandas a precios abusivos?",pregunta
"¿Las tiendas estatales venden pollo congelado en moneda nacional?",pregunta
"¿Cómo acceder a la venta de productos de higiene para adultos mayores?",pregunta
"¿Existen mercados mayoristas para comprar vegetales en La Habana?",pregunta
"¿Qué documentos necesito para comprar en la tienda de divisas 'Miramar Shopping'?",pregunta
