comment,label
¿Dónde puedo conseguir el formulario 322 para trámite de pasaporte,pregunta
Qué documentos necesito para registrar un nacimiento fuera del plazo legal,pregunta
Es cierto que van a reabrir la oficina de trámites de extranjería en Santiago,pregunta
¿Cómo cambio mi dirección en el carné de identidad después de mudarme,pregunta
Hay multa por no votar en las elecciones municipales,pregunta
¿Dónde reporto vecinos que tienen animales domésticos en condiciones inhumanas,pregunta
Qué debo hacer si encontré un objeto valioso en la vía pública,pregunta
¿Existe algún programa de reciclaje de plástico en Miramar,pregunta
Los trámites notariales son más rápidos en alguna oficina específica,pregunta
¿Dónde puedo estudiar idiomas con certificación reconocida internacionalmente,pregunta
La recogida de basura es irregular en barrios periféricos,criterio_general
El gas licuado debería distribuirse con mayor equidad,criterio_general
Las bodegas no cubren las necesidades nutricionales básicas,criterio_general
Los delegados deberían rendir cuentas periódicamente,criterio_general
El trámite del carné de identidad es rápido pero costoso,criterio_general
La contaminación acústica en zonas turísticas es excesiva,criterio_general
Los parques infantiles necesitan mantenimiento urgente,criterio_general
El sistema de bibliotecas públicas es excelente pero poco usado,criterio_general
La burocracia frena el desarrollo de pequeños negocios,criterio_general
Cuba necesita más iniciativas de economía circular,criterio_general
Denuncio vertido de desechos tóxicos de taller estatal en río Almendares,denuncia
Reporto red de venta ilegal de carnés de identidad en oficina de Guanabacoa,denuncia
Exijo investigación sobre desvío de combustible destinado a recogida de basura en Marianao,denuncia
Denuncio que inspectores de higiene cobran 'multas' bajo mesa a negocios privados,denuncia
Reporto matadero clandestino en Arroyo Naranjo que vende carne sin control sanitario,denuncia
Denuncio tala ilegal de árboles centenarios en Bosque de La Habana para venta de madera,denuncia
Exijo acción contra venta de diplomas universitarios falsos en Universidad de La Habana,denuncia
Denuncio que en Santiago cobran por acceso a playas que deberían ser públicas,denuncia
Reporto robo de equipos deportivos donados a escuelas primarias en Centro Habana,denuncia
Denuncio contrabando de especies protegidas en mercado de 19 y B,denuncia
¿Por qué faltan maestros en tantas escuelas?,queja
Reclamo que no hay libros de texto suficientes para todos los alumnos.,queja
¿Cuándo van a reparar los techos de la escuela que gotean cuando llueve?,queja
Queja porque el transporte escolar nunca llega a tiempo.,queja
¿Por qué no hay internet en las universidades para investigar?,queja
¿Por qué las universidades no tienen papel higiénico en los baños?,queja
Reclamo que los comedores escolares sirven comida en mal estado,queja
Denuncio venta de plazas universitarias por funcionarios corruptos,queja
¿Cuándo tendrán laboratorios de computación con equipos modernos?,queja
Queja porque los profesores piden materiales que no existen en el mercado,queja
¿Por qué cobran entrada en CUC a eventos culturales que antes eran gratuitos?,queja
Reclamo que las bibliotecas no adquieren nuevos libros desde 2019,queja
Denuncio que los instrumentos musicales se los dan solo a artistas con conexiones,queja
¿Por qué los estadios están en ruinas pero se construyen hoteles para turistas?,queja
Reclamo que no hay mantenimiento en las áreas deportivas barriales,queja
Denuncio que los cubanos no podemos alojarnos en hoteles de nuestra propia playa,queja
¿Por qué los taxis turísticos no pueden llevar pasajeros cubanos?,queja
Propongo concursos nacionales para crear contenidos digitales educativos,sugerencia
Sugiero alianzas con empresas para modernizar laboratorios escolares,sugerencia
¿Podrían implementar WiFi educativo gratuito en todas las escuelas?,sugerencia
Recomiendo crear talleres vocacionales desde primaria,sugerencia
Sería útil tener bibliotecas digitales con acceso offline,sugerencia
Propongo intercambios internacionales para profesores de ciencias,sugerencia
Sugiero huertos escolares obligatorios para autoabastecimiento,sugerencia
¿Podrían digitalizar los libros de texto para reducir costos?,sugerencia
Recomiendo transporte escolar compartido entre centros cercanos,sugerencia
Sería bueno crear una universidad del transporte público,sugerencia
Propongo convertir cines abandonados en centros culturales comunitarios,sugerencia
Sugiero festivales itinerantes de cine en barrios periféricos,sugerencia
¿Podrían habilitar talleres de arte reciclado en parques?,sugerencia
Recomiendo crear una mediateca nacional con archivos históricos digitalizados,sugerencia
Sería útil tener becas para artistas emergentes sin burocracia,sugerencia
Propongo rescatar tradiciones locales con ayuda de adultos mayores,sugerencia
Sugiero mapear digitalmente todo el patrimonio arquitectónico en riesgo,sugerencia
¿Podrían crear residencias artísticas en zonas rurales?,sugerencia
Recomiendo intercambios con artistas del Caribe para talleres prácticos,sugerencia
Sería bueno tener librerías ambulantes en buses adaptados,sugerencia
Propono crear paquetes turísticos accesibles para cubanos,sugerencia
Sugiero rutas gastronómicas que incluyan paladares familiares,sugerencia
¿Podrían habilitar playas con áreas exclusivas para residentes locales?,sugerencia
Recomiendo crear festivales de intercambio cultural turista-comunidad,sugerencia
Sería útil tener señalización bilingüe en sitios históricos,sugerencia
Propongo tours especializados en arquitectura y música cubana,sugerencia
Sugiero capacitación obligatoria en trato al cliente para taxistas,sugerencia
¿Podrían crear pases de transporte integrado para visitantes?,sugerencia
Recomiendo cooperativas de artesanos con precios justos,sugerencia
Sería bueno tener wifi gratis en zonas turísticas con límite de tiempo,sugerencia
¿Por qué no pude completar mi llamada ayer?,pregunta
Cuándo se va a normalizar el internet en mi zona,pregunta
¿Qué hago si mi cuenta de luz sigue apagándose todo el tiempo?,pregunta
A qué hora pasa el autobús por mi casa?,pregunta
¿Tienen algún plan para estudiantes con el servicio de internet?,pregunta
Por qué el número que intento llamar está fuera de servicio?,pregunta
¿Cuánto tarda en atenderse mi solicitud de mantenimiento?,pregunta
Qué hago si mi tarjeta SIM no funciona,pregunta
¿Cuál es el procedimiento para reportar un problema en mi línea telefónica?,pregunta
Cuándo me van a responder sobre mi solicitud de internet,pregunta
¿Qué puedo hacer si mi paquete no ha llegado a tiempo?,pregunta
Por qué el servicio de televisión por cable sigue sin funcionar,pregunta
Dónde puedo encontrar info sobre los nuevos horarios de los autobuses urbanos,pregunta
¿Qué opciones tengo para mejorar mi señal de internet?,pregunta
Por qué mi factura de electricidad está tan alta,pregunta
Cómo puedo chequear el estado de mi solicitud para el cableado nuevo,pregunta
Qué hago si mi línea telefónica sigue desconectada,pregunta
¿Cuánto cuesta un viaje en taxi hasta el centro?,pregunta
Dónde puedo saber más sobre los nuevos planes de telefonía móvil,pregunta
Cuándo estará disponible el internet en mi barrio,pregunta
Cómo hago para que los autobuses pasen más seguido,pregunta
Qué hago si mi factura de electricidad sigue igual,pregunta
Qué opciones hay para pagar mi factura de agua online,pregunta
¿Por qué la luz sigue intermitente después del último mantenimiento?,pregunta
Cómo cambio mi número telefónico,pregunta
¿Por qué el sistema de pago no me reconoce mi tarjeta?,pregunta
Dónde reclamo si mi paquete llegó dañado,pregunta
Cuándo van a poner los nuevos buses para mi ruta,pregunta
Qué hago si mi línea telefónica sigue sin servicio,pregunta
¿Cuánto cuesta un viaje en tren hacia otro municipio?,pregunta
Por qué mi servicio de televisión sigue sin funcionar,pregunta
Dónde encuentro información sobre los horarios de los autobuses nocturnos,pregunta
Qué opciones tengo para mejorar la velocidad de internet en mi zona,pregunta
Cómo puedo verificar el estado de mi solicitud de internet en casa,pregunta
Qué hago si mi paquete está más demorado de lo que me dijeron,pregunta
¿Cómo reporto un problema con la señal de televisión?,pregunta
Por qué el autobús que siempre tomo siempre va lleno,pregunta
Qué opciones tengo para solucionar los problemas de internet en mi casa,pregunta
Cómo chequeo el estado de mi solicitud de electricidad,pregunta
Qué hago si mi línea telefónica sigue fuera de servicio después de varios días,pregunta
Cuánto cuesta un viaje en bicicleta-taxi en mi municipio,pregunta
Qué hago si mi factura de agua tiene cargos extra,pregunta
Dónde encuentro información sobre los nuevos horarios de los buses urbanos,pregunta
Qué puedo hacer si mi solicitud de cableado eléctrico no se ha atendido,pregunta
Cuánto cuesta un viaje en colectivo hacia otro municipio,pregunta
Por qué mi línea telefónica sigue con interferencias,pregunta
Qué opciones tengo para mejorar el servicio de transporte público,pregunta
Cómo puedo ver el estado de mi solicitud de agua,pregunta
Qué hago si mi paquete fue entregado en la dirección equivocada?,pregunta
Cuánto cuesta un viaje en colectivo hacia otra provincia,pregunta
Por qué mi televisión por cable sigue sin funcionar después de varios días,pregunta
Dónde encuentro info sobre los horarios de los autobuses interprovinciales,pregunta
Qué hago si mi solicitud de electricidad sigue sin ser atendida,pregunta
Por qué mi línea telefónica sigue con problemas de cobertura,pregunta
Qué opciones tengo para mejorar el servicio de internet en mi comunidad,pregunta
Cómo chequear el estado de mi solicitud de agua potable,pregunta
