comment,label
Los trámites de permuta son lentos y complicados.,criterio_general
Los materiales de construcción son demasiado caros.,criterio_general
Las regulaciones para construir son excesivas.,criterio_general
El estado de los edificios en Centro Habana es alarmante.,criterio_general
Los subsidios para reparaciones deberían llegar más rápido.,criterio_general
Denuncio corrupción en la oficina municipal de vivienda: piden sobornos para aprobar permisos.,denuncia
Reporto venta ilegal de materiales de construcción asignados a damnificados de huracanes.,denuncia
Exijo acción ante edificios en peligro de derrumbe en Centro Habana que las autoridades ignoran.,denuncia
Denuncio asignación arbitraria de subsidios a familiares de funcionarios en Pinar del Río.,denuncia
Reporto que inspectores municipales solicitan coimas para 'aprobar' reparaciones legales.,denuncia
Estoy harto de los trámites interminables para una simple permuta,queja
Es indignante que los materiales de construcción sean tan caros e inaccesibles,queja
Me tienen cansado con las demoras en las reparaciones de viviendas afectadas por huracanes,queja
Es inaceptable que los subsidios solo lleguen a quienes tienen contactos,queja
Estoy frustrado porque mi edificio se cae a pedazos y nadie hace nada,queja
Sugiero crear bancos de materiales de construcción reciclados para abaratar costos de reparaciones,sugerencia
Sería bueno implementar un sistema de permutas virtuales con fotos y detalles técnicos de las propiedades,sugerencia
Propongo talleres comunitarios de autoconstrucción guiada para mejorar viviendas con bajos recursos,sugerencia
Recomiendo priorizar subsidios para reparación de techos antes de la temporada de huracanes,sugerencia
Sugiero crear una oficina móvil que visite barrios remotos para trámites de vivienda,sugerencia
