comment,label
¿Dónde solicito el certificado de libertad de gravamen para mi propiedad,pregunta
Qué impuestos debo pagar por heredar una vivienda de mis padres,pregunta
Es cierto que hay nuevos requisitos para las permutas de viviendas estatales,pregunta
¿Cuánto tiempo tarda la aprobación para construir un segundo piso,pregunta
Dónde puedo conseguir el modelo oficial de contrato de arrendamiento,pregunta
¿Existen subsidios para reparar techos de fibrocemento que contengan asbesto,pregunta
Qué debo hacer si mi edificio está en mal estado pero es patrimonio cultural,pregunta
¿Es obligatorio notificar a la Dirección de Vivienda por cambios internos menores,pregunta
Los trámites de herencia son más rápidos si todos los herederos están de acuerdo,pregunta
¿Dónde denuncio construcción ilegal que afecta mi propiedad,pregunta
Los trámites de permuta son excesivamente burocráticos,criterio_general
Los materiales de construcción son caros y de mala calidad,criterio_general
Las regulaciones para construir deberían ser más flexibles,criterio_general
El estado de los edificios en Centro Habana es deplorable,criterio_general
Los subsidios para reparaciones llegan a quienes menos los necesitan,criterio_general
La autocontrucción debería recibir más apoyo estatal,criterio_general
Las viviendas estatales tienen peor mantenimiento que las particulares,criterio_general
El proceso de legalización de viviendas es innecesariamente complejo,criterio_general
Los arquitectos jóvenes podrían ayudar a renovar barrios enteros,criterio_general
La falta de vivienda digna es uno de los mayores problemas sociales,criterio_general
Denuncio venta ilegal de subsidios para materiales de construcción en oficina de Plaza,denuncia
Reporto que inspectores municipales en Centro Habana piden sobornos para aprobar remodelaciones,denuncia
Exijo investigación sobre asignación de viviendas sociales a familiares de funcionarios,denuncia
Denuncio corrupción en permutas: cobran 2000 CUC por 'legalizar' intercambios entre particulares,denuncia
Reporto desvío de cemento destinado a reparar edificios patrimoniales hacia constructoras privadas,denuncia
Denuncio que en Pinar del Río exigen 'donaciones' para incluir viviendas en planes de reparación,denuncia
Exijo acción contra notarías que cobran tarifas ilegales por trámites de herencia,denuncia
Denuncio venta de terrenos estatales en Guanabo mediante documentos falsificados,denuncia
Reporto colapso de edificio en Santos Suárez por negligencia en inspecciones técnicas,denuncia
Denuncio que materiales para damnificados de huracanes se venden en ferreterías clandestinas,denuncia
¿Por qué los trámites de permiso de obra tardan años?,queja
Reclamo que no hay materiales de construcción en las tiendas estatales.,queja
¿Cuándo van a reparar los edificios en peligro de derrumbe?,queja
Queja porque asignan casas en mal estado y luego no hay mantenimiento.,queja
¿Por qué los precios de alquiler son tan altos si los salarios son bajos?,queja
¿Por qué los materiales de construcción solo se venden en MLC?,queja
Reclamo que los arquitectos estatales tardan 2 años en aprobar planos,queja
Denuncio corrupción en asignación de viviendas - las mejores van a 'familiares',queja
¿Cuándo repararán los edificios patrimoniales que se caen a pedazos?,queja
Queja porque no hay acceso a créditos hipotecarios para jóvenes,queja
