comment,label
¿Dónde puedo encontrar leche maternizada sin receta en La Habana,pregunta
Cómo solicito una copia de mi historial médico del hospital América Arias,pregunta
Es necesario llevar análisis recientes para consulta con el endocrinólogo,pregunta
¿Qué hospitales tienen servicio de diálisis abierto las 24 horas,pregunta
Hay algún teléfono para pedir ambulancia pediátrica urgente,pregunta
¿Por qué nunca hay algodón ni gasas en la farmacia de mi barrio,pregunta
Las consultas con especialistas en policlínicos siguen siendo gratuitas,pregunta
¿Dónde puedo realizar pruebas PCR para viajes internacionales,pregunta
Existe algún programa de vacunación contra la neumonía para adultos mayores,pregunta
¿Qué hacer si me recetaron un medicamento que no existe en ninguna farmacia,pregunta
Los médicos cubanos son competentes pero trabajan con recursos limitados,criterio_general
La falta de medicamentos básicos en farmacias es alarmante,criterio_general
El sistema de atención primaria sigue siendo eficiente,criterio_general
Las condiciones de algunos hospitales son indignas para pacientes,criterio_general
La venta ilegal de citas médicas debería perseguirse con más rigor,criterio_general
La atención en salas de emergencia es rápida pero con carencias,criterio_general
Los protocolos COVID en hospitales son exhaustivos y profesionales,criterio_general
La falta de ambulancias en zonas rurales pone vidas en riesgo,criterio_general
El programa de vacunación infantil sigue siendo ejemplar,criterio_general
Los turnos para especialistas pueden demorar hasta un año,criterio_general
Denuncio robo de medicamentos oncológicos en hospital Calixto García por personal de almacén,denuncia
Reporto venta ilegal de citas quirúrgicas en Clínica Cira García a 300 CUC c/u,denuncia
Exijo investigación sobre desaparición de 20 respiradores donados al hospital Hermanos Ameijeiras,denuncia
Denuncio que en farmacia de Marianao exigen recetas médicas falsificadas para vender antibióticos,denuncia
Reporto negligencia en banco de sangre de Santiago: almacenan plasma sin refrigeración adecuada,denuncia
Denuncio cobro ilegal por 'atención prioritaria' en sala de emergencias de Villa Clara,denuncia
Exijo acción contra clínica estatal que reutiliza jeringuillas para ahorrar costos,denuncia
Denuncio venta de certificados médicos falsos en consultorio de Lawton por 50 CUP,denuncia
Reporto desvío de material quirúrgico a consultorios privados en Playa,denuncia
Denuncio que ambulancia de Regla se usa para transporte personal de funcionarios,denuncia
¿Por qué nunca hay medicamentos esenciales en la farmacia?,queja
Reclamo que las ambulancias tardan horas en llegar.,queja
¿Cuándo van a reparar los equipos médicos en el hospital? Muchos están rotos.,queja
Queja porque los turnos para especialistas son a 6 meses de espera.,queja
¿Por qué los médicos no tienen suficientes insumos para atender bien?,queja
¿Por qué los ancianos deben llevar sus propias sábanas al hospital?,queja
Reclamo que en las farmacias internacionales exigen recetas cubanas pero venden a extranjeros sin requisitos,queja
Denuncio que el material quirúrgico se reutiliza hasta que se rompe,queja
¿Cuándo tendrán reactivos para análisis clínicos en hospitales municipales?,queja
Queja porque las ambulancias priorizan a turistas en zonas de playa,queja
Propongo telemedicina para consultas no urgentes en municipios remotos,sugerencia
Sugiero crear farmacias móviles para zonas de difícil acceso,sugerencia
¿Podrían implementar historia clínica electrónica nacional?,sugerencia
Recomiendo cooperativas para producir medicamentos genéricos,sugerencia
Sería útil tener ambulancias con motocicletas para calles estrechas,sugerencia
Propongo convenios con universidades para investigar plantas medicinales,sugerencia
Sugiero huertos hospitalarios para producir alimentos frescos a pacientes,sugerencia
¿Podrían crear un banco de prótesis 3D accesibles?,sugerencia
Recomiendo jornadas de donación de sangre con incentivos reales,sugerencia
Sería bueno capacitar a abuelos como auxiliares de salud comunitaria,sugerencia
