comment,label
ETECSA debería bajar los precios del Internet móvil.,criterio_general
"La señal 4G en La Habana es aceptable, pero inestable.",criterio_general
Las recargas en línea fallan demasiado seguido.,criterio_general
El servicio técnico de ETECSA tarda mucho en responder.,criterio_general
Los paquetes de datos son caros para la velocidad que ofrecen.,criterio_general
Reporto que ETECSA no devuelve el saldo tras fallas en recargas de Nauta durante 3 días.,denuncia
Denuncio venta ilegal de líneas telefónicas por empleados de ETECSA a precios exorbitantes.,denuncia
Exijo acción ante la mala instalación de Internet que dejó daños permanentes en mi fachada.,denuncia
Denuncio cobros no autorizados en mi factura de teléfono fijo por servicios no contratados.,denuncia
Reporto que el centro de atención al cliente de ETECSA en Camagüey nunca atiende el teléfono.,denuncia
Estoy cansado de pagar caro por un servicio de Internet lento e inestable,queja
Es frustrante que las recargas de saldo se pierdan constantemente sin explicación,queja
"La atención al cliente de ETECSA es pésima, nunca resuelven los problemas",queja
Me tienen harto con los mensajes publicitarios no solicitados que consumen saldo,queja
"Es inaceptable que después de instalar el cableado, el servicio tarde meses en activarse",queja
Sugiero que ETECSA ofrezca paquetes de Internet más económicos para estudiantes y adultos mayores,sugerencia
Sería útil implementar centros de wifi comunitario gratuito en zonas rurales con acceso limitado,sugerencia
Propongo crear una línea de atención al cliente 24/7 para reportar fallas en el servicio,sugerencia
Recomiendo mejorar la infraestructura de antenas para garantizar mejor cobertura móvil en todo el país,sugerencia
Sugiero desarrollar una app nacional para mensajería interna que funcione sin necesidad de Internet,sugerencia
