comment,label
"¿Cómo activar el servicio de roaming internacional con Etecsa?",pregunta
"¿El paquete de 10 GB para estudiantes incluye redes sociales ilimitadas?",pregunta
"¿Dónde reclamo si me cobraron un servicio no solicitado en mi factura?",pregunta
"¿Cuándo llegará el 4G a la zona de Playas del Este?",pregunta
"¿Qué hacer si mi módem Nauta Hogar se sobrecalienta?",pregunta
"¿Hay planes de datos para tablets con precios reducidos?",pregunta
"¿Cómo bloquear llamadas internacionales no deseadas?",pregunta
"¿La recarga de 5 USD incluye minutos para llamadas a móviles?",pregunta
"¿Dónde reportar una antena dañada en el municipio de Boyeros?",pregunta
"¿Cómo transferir saldo a otro número de Etecsa?",pregunta
"¿El servicio técnico atiende emergencias los fines de semana?",pregunta
"¿Qué documentos necesito para contratar Nauta Hogar?",pregunta
"¿Por qué mi teléfono no detecta la señal 4G en Centro Habana?",pregunta
"¿Hay planes pospago para empresas pequeñas?",pregunta
"¿Cómo verificar el consumo de datos en tiempo real?",pregunta
"¿Dónde comprar tarjetas SIM en moneda nacional (CUP)?",pregunta
"¿La empresa repara teléfonos dañados por fallos de red?",pregunta
"¿Qué hacer si mi número fue clonado o hackeado?",pregunta
"¿Cómo configurar el correo Nauta en un iPhone?",pregunta
"¿El servicio de fibra óptica está disponible en Trinidad?",pregunta
"¿Aceptan pago en MLC para la instalación de teléfono fijo?",pregunta
"¿Cómo denunciar venta ilegal de paquetes de datos?",pregunta
"¿Hay descuentos para adultos mayores en recargas?",pregunta
"¿Dónde reportar fallos en la app Mi Etecsa?",pregunta
"¿Por qué no puedo enviar SMS internacionales desde mi móvil?",pregunta
"¿Cómo activar el servicio de buzón de voz?",pregunta
"¿La empresa ofrece routers Wi-Fi 6 para Nauta Hogar?",pregunta
"¿Qué hacer si el técnico no llegó en la fecha programada?",pregunta
"¿Cómo solicitar una factura detallada de llamadas internacionales?",pregunta
"¿Hay cobertura de Etecsa en zonas montañosas de Granma?",pregunta
"¿Cómo cambiar mi número de teléfono asociado a Nauta?",pregunta
"¿El servicio técnico cobra por revisar fallos en la conexión?",pregunta
"¿Dónde reclamo si mi paquete de datos se agotó en un día?",pregunta
"¿Cómo restablecer la contraseña del correo Nauta?",pregunta
"¿La empresa vende teléfonos móviles con planes de pago?",pregunta
"¿Qué hacer si mi línea fija tiene ruido constante?",pregunta
"¿Cómo verificar si mi área tiene cobertura para fibra óptica?",pregunta
"¿Hay números de atención al cliente exclusivos para empresas?",pregunta
"¿Por qué la velocidad de internet baja drásticamente en la noche?",pregunta
"¿Cómo contratar un paquete de datos para 30 días?",pregunta
"¿Dónde reportar una estafa telefónica con números de Etecsa?",pregunta
"¿La empresa ofrece capacitaciones sobre uso seguro de internet?",pregunta
"¿Cómo desactivar el cobro automático de servicios adicionales?",pregunta
"¿Hay planes de roaming para viajes a Venezuela?",pregunta
"¿Qué hacer si mi módem no enciende después de un apagón?",pregunta
"¿Cómo solicitar una dirección IP fija para mi negocio?",pregunta
"¿La app Mi Etecsa permite recargar saldo con tarjeta de crédito?",pregunta
"¿Dónde denunciar antenas que causan interferencia en radios?",pregunta
"¿Cómo activar el servicio de SMS para recibir alertas de Etecsa?",pregunta
"¿Hay promociones por fidelidad para clientes de larga data?",pregunta
"¿Por qué no puedo acceder a Netflix con mi conexión Nauta?",pregunta
"¿Cómo bloquear el consumo de datos en aplicaciones específicas?",pregunta
"¿La empresa ofrece garantía en módems dañados por sobrevoltaje?",pregunta
"¿Dónde reclamo si el técnico no resolvió el problema en su visita?",pregunta
"¿Cómo contratar un plan de internet para dos dispositivos?",pregunta
"¿Hay restricciones de velocidad en el servicio prepago?",pregunta
"¿Qué hacer si mi teléfono muestra 'sin servicio' constantemente?",pregunta
"¿Cómo ver el historial de recargas de los últimos 3 meses?",pregunta
"¿La empresa instalará nuevas antenas en el municipio de Martí?",pregunta
"Etecsa es una estafa, cobran oro por internet de caracol.",queja
"¿Sus servidores los alimentan con hamsters? La velocidad es una burla.",queja
"Ladrones, venden paquetes de datos que se evaporan en segundos.",queja
"¿Sus técnicos son fantasmas? Programan visitas y nunca llegan.",queja
"Incompetentes, ni para instalar un módem sirven.",queja
"Mentirosos, prometen fibra óptica y sigue el internet de la prehistoria.",queja
"¿Sus antenas son decorativas? La señal desaparece en cada lluvia.",queja
"Sinvergüenzas, cobran en MLC por un servicio que no funciona.",queja
"Estafadores, las recargas se pierden y nadie responde.",queja
"¿Sus empleados aprendieron a mentir en la cuna?",queja
"Vagos, pasan meses sin reparar líneas caídas.",queja
"Hijos del diablo, disfrutan ver al pueblo desconectado.",queja
"¿Su 4G es una broma? Más lento que un telegrama.",queja
"Corruptos, venden equipos en el mercado negro a precios absurdos.",queja
"Inútiles, ni para copiar modelos de otros países sirven.",queja
"¿Sus routers son de piedra? El Wi-Fi no pasa ni una pared.",queja
"Ladrones de saldo, cobran servicios no solicitados.",queja
"Sin alma, dejan a estudiantes sin internet para clases en línea.",queja
"¿Sus planes son para millonarios? El pueblo no puede pagarlos.",queja
"Mafia, controlan las telecomunicaciones como si fuera droga.",queja
"Inmorales, cobran por minutos que nunca se usan.",queja
