comment,label
"Los ómnibus de La Habana a Matanzas siempre van llenos, deberían aumentar la frecuencia.",criterio_general
"El servicio de trenes ha mejorado, pero aún falta puntualidad.",criterio_general
Los taxistas cobran precios abusivos en temporada alta.,criterio_general
Las rutas de ómnibus urbanos son confusas para los turistas.,criterio_general
"El tren Hershey es una experiencia única, pero necesita mantenimiento.",criterio_general
Denuncio que el chofer del ómnibus H-12 se negó a llevar a una persona discapacitada sin justificación.,denuncia
"Reporto que el tren de Hershey lleva 3 días sin pasar, incumpliendo el horario oficial.",denuncia
Denuncio que taxistas en Varadero cobran 50 CUC por trayectos que deberían costar 20 CUC.,denuncia
"Exijo acción ante los ómnibus que circulan con puertas rotas, poniendo en riesgo a los pasajeros.",denuncia
Reporto que en la terminal de Santiago de Cuba venden boletos 'bajo la mesa' a precios inflados.,denuncia
"Estoy harto de que los ómnibus urbanos nunca cumplan su horario, llevo 2 horas esperando",queja
"Los taxis colectivos están en pésimo estado, asientos rotos y sin aire acondicionado",queja
Es inaceptable que cancelen el tren Habana-Matanzas sin aviso previo,queja
"Los precios de los almendrones son abusivos, especialmente para los jubilados",queja
Me cansé de que siempre prioricen las rutas turísticas y dejen sin transporte a los barrios obreros,queja
"Sugiero implementar un sistema de tracking GPS para los ómnibus urbanos, así sabríamos cuándo llegan realmente",sugerencia
"Propongo crear carriles exclusivos para el transporte público en horas pico, agilizaría mucho el tráfico",sugerencia
Sería útil que los taxis colectivos tengan una app para reservar asientos y evitar las largas colas,sugerencia
Recomiendo aumentar la frecuencia de los trenes interprovinciales los fines de semana cuando hay más demanda,sugerencia
Sugiero colocar pantallas informativas en las paradas con los horarios reales de llegada de los ómnibus,sugerencia
