comment,label
"¿El ómnibus Habana-Varadero tiene parada en el poblado de Aguada de Pasajeros?",pregunta
"¿Cuánto cuesta el boleto de tren desde Santa Clara hasta Cienfuegos en moneda nacional (CUP)?",pregunta
"¿La ruta 27 de Metrobús opera los domingos con el mismo horario?",pregunta
"¿Dónde puedo reclamar si el taxista cobró el doble de la tarifa establecida?",pregunta
"¿Los coches de caballos en Trinidad tienen permisos oficiales para transporte de turistas?",pregunta
"¿La empresa Transtur ofrece descuentos a estudiantes universitarios?",pregunta
"¿Hay transporte especial para personas discapacitadas en Santiago de Cuba?",pregunta
"¿Cómo reservar un taxi colectivo desde Bayamo a Manzanillo por teléfono?",pregunta
"¿Qué documentos necesito para enviar un paquete por Ferrocuba a Holguín?",pregunta
"¿La terminal de ómnibus de Matanzas acepta pago con tarjeta magnética?",pregunta
"¿Por qué la app 'Mi Transporte' no muestra las rutas de Pinar del Río?",pregunta
"¿El tren Hershey está funcionando después de los últimos daños por huracanes?",pregunta
"¿Hay bicicletas eléctricas disponibles para alquilar en la Habana Vieja?",pregunta
"¿A qué hora sale el último ómnibus de Guanabacoa al centro de La Habana?",pregunta
"¿Los camiones de carga de la empresa TransCuba permiten transportar muebles?",pregunta
"¿Dónde reportar un chofer que fuma dentro del ómnibus durante el viaje?",pregunta
"¿La ruta 341 de Artemisa incluye parada en el hospital provincial?",pregunta
"¿Hay restricciones para viajar con mascotas en los trenes nacionales?",pregunta
"¿Cómo saber si mi equipaje cumple con el peso máximo en VíaZul?",pregunta
"¿La empresa Cubacar ofrece servicios de alquiler de autos para extranjeros?",pregunta
"¿El ómnibus de la ruta C-12 pasa por el Parque Lenin?",pregunta
"¿Qué hacer si perdí un objeto personal dentro de un taxi de la empresa Panataxi?",pregunta
"¿Los coches particulares (boteros) tienen tarifas reguladas en Camagüey?",pregunta
"¿La terminal de Guantánamo tiene sala de espera con aire acondicionado?",pregunta
"¿Existe un número de WhatsApp para consultar horarios de trenes?",pregunta
"¿Cómo denunciar un vehículo de carga que bloquea paradas de ómnibus?",pregunta
