comment,label
Alguien sabe si el ómnibus de Guanabo pasa por 23 y Malecón,pregunta
Necesito confirmar el horario del último tren a Pinar del Río?,pregunta
¿Dónde puedo comprar boletos para el Viazul online,pregunta
Los taxis aeropuerto-Habana Vieja siguen cobrando 25 CUC,pregunta
¿Alguien tiene el teléfono de la terminal de ómnibus de Santa Clara,pregunta
Es cierto que van a habilitar una nueva ruta de almendrones a Cojímar,pregunta
¿Requieren algún documento específico para viajar en tren a Santiago?,pregunta
Saben si el puente de Bacunayagua está abierto al tráfico hoy,pregunta
¿Cuánto tiempo de anticipación hay que llegar al aeropuerto para vuelos nacionales,pregunta
Existe alguna app para rastrear los ómnibus urbanos en tiempo real,pregunta
Los nuevos ómnibus chinos son más cómodos pero siguen siendo insuficientes,criterio_general
"El servicio de trenes mejoró un poco este año, aunque aún falta puntualidad",criterio_general
Los taxis particulares cobran precios abusivos en temporada turística,criterio_general
Las rutas de ómnibus en La Habana necesitan una reestructuración urgente,criterio_general
"El alquiler de bicicletas eléctricas fue una buena iniciativa, pero pocas funcionan",criterio_general
Los conductores de almendrones deberían recibir capacitación en trato al público,criterio_general
El Viazul es el servicio más confiable para viajes interprovinciales,criterio_general
Las paradas de ómnibus sin techos son inhumanas bajo el sol cubano,criterio_general
El metro de La Habana sería una solución ideal para el transporte urbano,criterio_general
Los horarios de transporte nocturno no cubren las necesidades reales,criterio_general
Denuncio que el chofer del ómnibus Ruta 47 (matrícula A12345) se negó a llevar a una embarazada bajo la lluvia en la parada de 23 y G,denuncia
Reporto venta ilegal de boletos para el tren Habana-Santiago a triple precio por empleados de la estación Central,denuncia
Exijo investigación sobre taxistas de la ruta Playas del Este que cobran en MLC pero no entregan factura ni declaran impuestos,denuncia
Denuncio que el almendrón (matrícula B678CD) que cubre Ruta 25 circula con frenos defectuosos y luces rotas desde hace 3 meses,denuncia
Reporto desvío de combustible en la base de ómnibus de Guanabacoa: los tanques llenos aparecen vacíos sin explicación,denuncia
Denuncio corrupción en la emisión de licencias de transporte: cobran 500 CUP por 'agilizar' trámites que son gratuitos,denuncia
Exijo acción contra conductores de la ruta P12 que apagan sus rutímetros para cobrar tarifas arbitrarias a turistas,denuncia
Denuncio venta clandestina de piezas robadas de ómnibus estatales en el taller de San Miguel del Padrón,denuncia
Reporto que inspectores de transporte en Marianao solicitan sobornos para 'pasar por alto' infracciones menores,denuncia
Denuncio negligencia en el mantenimiento del puente de Bacunayagua: hay grietas visibles que ponen en riesgo vidas,denuncia
¿Por qué los ómnibus siempre llegan tarde y llenos? ¡Es imposible viajar así!,queja
"Reclamo que los choferes no respetan los horarios, ayer esperé 2 horas y nunca pasó la ruta.",queja
¿Cuándo van a reparar los ómnibus que se descomponen cada dos días?,queja
"Queja por la falta de asientos para adultos mayores, viajan de pie y es peligroso.",queja
"Los microbuses están en pésimo estado, con asientos rotos y sin aire acondicionado.",queja
Los cobradores no dan ticket y luego niegan haber recibido el dinero,queja
¿Por qué no hay transporte después de las 10pm? Los trabajadores nocturnos sufrimos,queja
Reclamo que el aire acondicionado nunca funciona en los ómnibus de turismo,queja
¿Cuándo repondrán las piezas de los trenes? El servicio La Habana-Santiago está colapsado,queja
Queja formal: los taxistas colectivos cobran precios abusivos en días de lluvia,queja
Propongo implementar una app para rastrear ómnibus en tiempo real con GPS,sugerencia
Sugiero crear carriles exclusivos para buses en horas pico en La Habana,sugerencia
¿Podrían habilitar bicicletas públicas en zonas como Vedado y Habana Vieja?,sugerencia
Recomiendo instalar pantallas en paradas con tiempos reales de llegada,sugerencia
Sería útil tener transporte nocturno para trabajadores de la salud,sugerencia
Propongo capacitar a choferes en trato a adultos mayores y discapacitados,sugerencia
Sugiero reparar los asientos de los trenes interprovinciales con materiales duraderos,sugerencia
¿Podrían crear una línea de metro entre Santiago y Palma Soriano?,sugerencia
Recomiendo implementar venta electrónica de boletos para evitar colas,sugerencia
Sería bueno tener taxis colectivos eléctricos para reducir contaminación,sugerencia
